Date,Open,High,Low,Close,Adj Close,Volume
02-09-19,25627.83008,25662.31055,25502.69922,25626.55078,25626.55078,1295066700
30-08-19,26011.64063,26011.64063,25536.15039,25724.73047,25724.73047,2017892000
29-08-19,25606.33008,25714.7793,25372.49023,25703.5,25703.5,1784869100
28-08-19,25767.08008,25830.64063,25596.08008,25615.48047,25615.48047,1462114400
27-08-19,25715.98047,25764.60938,25581.73047,25664.07031,25664.07031,2214167200
26-08-19,25322,25692.2793,25249.50977,25680.33008,25680.33008,2475604900
23-08-19,26057.88086,26241.2207,25940.43945,26179.33008,26179.33008,1621440900
22-08-19,26272.91016,26288.24023,25977.66992,26048.7207,26048.7207,1780728400
21-08-19,26160.53906,26318.13086,26075.91016,26270.03906,26270.03906,1701479200
20-08-19,26256.53906,26347.23047,26149.40039,26231.53906,26231.53906,1822936100
19-08-19,25994.80078,26356.2207,25994.80078,26291.83984,26291.83984,2144882700
16-08-19,25484.96094,25798.10938,25314.26953,25734.2207,25734.2207,2022477500
15-08-19,24945.74023,25552.13086,24899.92969,25495.46094,25495.46094,2145864600
14-08-19,25711.09961,25717.98047,25197.38086,25302.2793,25302.2793,1915522900
13-08-19,25536.61914,25616.71094,25270.91016,25281.30078,25281.30078,1979089800
12-08-19,25869.48047,26069.23047,25824.7207,25824.7207,25824.7207,1200393600
09-08-19,26278.91992,26313.7793,25939.30078,25939.30078,25939.30078,1357616900
08-08-19,25999.44922,26317.41992,25999.44922,26120.76953,26120.76953,1658129900
07-08-19,25977.7207,26025.43945,25738.80078,25997.0293,25997.0293,1671335000
06-08-19,25472.42969,26042.23047,25397.34961,25976.24023,25976.24023,2751867000
05-08-19,26480.4707,26502.60938,26086.85938,26151.32031,26151.32031,2120745300
02-08-19,26950.5293,27043.46094,26868.96094,26918.58008,26918.58008,2317609200
01-08-19,27582.21094,27754.03906,27495.89063,27565.69922,27565.69922,1736444000
31-07-19,27931.2793,27939.7207,27701.43945,27777.75,27777.75,1287084400
30-07-19,28059.82031,28274.65039,28059.82031,28146.5,28146.5,1147561000
29-07-19,28262.80078,28302.66016,27945.41016,28106.41016,28106.41016,1563572300
26-07-19,28406.07031,28487.64063,28338.30078,28397.74023,28397.74023,1320699900
25-07-19,28575.49023,28628.50977,28517.00977,28594.30078,28594.30078,974264600
24-07-19,28578.14063,28764.5,28515.91992,28524.03906,28524.03906,1075821900
23-07-19,28392.03906,28489.28906,28313.78906,28466.48047,28466.48047,950029300
22-07-19,28612.2793,28649.43945,28303.55078,28371.25977,28371.25977,1104886500
19-07-19,28585.15039,28809.58984,28551.19922,28765.40039,28765.40039,1261012300
18-07-19,28393.03906,28511.65039,28376.5,28461.66016,28461.66016,925037300
17-07-19,28463.76953,28593.16992,28377.33984,28593.16992,28593.16992,950441100
16-07-19,28583.92969,28634.65039,28489.41016,28619.61914,28619.61914,1024681900
15-07-19,28303.35938,28567.25,28071.18945,28554.88086,28554.88086,1317116400
12-07-19,28401.86914,28603.86914,28399.66016,28471.61914,28471.61914,1204492700
11-07-19,28347.85938,28582.68945,28347.85938,28431.80078,28431.80078,1067070900
10-07-19,28245.08984,28311.7793,28144.86914,28204.68945,28204.68945,1013012100
09-07-19,28299.73047,28312.9707,28080.73047,28116.2793,28116.2793,1218475000
08-07-19,28513.14063,28541.09961,28194.07031,28331.68945,28331.68945,1250874300
05-07-19,28785.5293,28880.58008,28714.91992,28774.83008,28774.83008,846919500
04-07-19,28891.9707,29007.98047,28776.48047,28795.76953,28795.76953,928449700
03-07-19,28781.9707,28891.89063,28721.21094,28855.14063,28855.14063,1291301500
02-07-19,28904.03906,28959.06055,28768.53906,28875.56055,28875.56055,2110432700
28-06-19,28632.58984,28632.58984,28416.96094,28542.61914,28542.61914,1486688000
27-06-19,28352.93945,28621.41992,28287.33984,28621.41992,28621.41992,1679897500
26-06-19,28046.16016,28267.98047,27985.98047,28221.98047,28221.98047,1431402200
25-06-19,28447.96094,28470.09961,28066.13086,28185.98047,28185.98047,1851984100
24-06-19,28400.63086,28634.48047,28358.06055,28513,28513,1338833200
21-06-19,28581.50977,28581.50977,28359.25,28473.71094,28473.71094,2171897300
20-06-19,28308.84961,28563.08008,28258.01953,28550.42969,28550.42969,1820185000
19-06-19,28224.86914,28224.86914,28022.49023,28202.14063,28202.14063,2076060300
18-06-19,27289.69922,27584.11914,27201.01953,27498.76953,27498.76953,1550614700
17-06-19,27252.44922,27503.09961,27227.16016,27227.16016,27227.16016,1487266700
14-06-19,27180.74023,27275.88086,27051.75,27118.34961,27118.34961,2031083500
13-06-19,27217.7207,27294.71094,26825.34961,27294.71094,27294.71094,1846303100
12-06-19,27603.11914,27603.11914,27222.0293,27308.46094,27308.46094,1866884200
11-06-19,27677.06055,27857.84961,27577.91016,27789.33984,27789.33984,1824700000
10-06-19,27206.60938,27606.41992,27155.0293,27578.64063,27578.64063,2272329600
06-06-19,26935.86914,26984.01953,26837.66992,26965.2793,26965.2793,1601926500
05-06-19,27116.08008,27119.48047,26803.66016,26895.43945,26895.43945,1894174900
04-06-19,26994.08008,26994.08008,26671.90039,26761.51953,26761.51953,1527666000
03-06-19,26909.71094,26968.09961,26735.48047,26893.85938,26893.85938,1716241600
31-05-19,27002.96094,27155.35938,26850.26953,26901.08984,26901.08984,1829465900
30-05-19,27319.25,27319.25,27020.73047,27114.88086,27114.88086,1884022200
29-05-19,27226.94922,27429.36914,27178.71094,27235.71094,27235.71094,2236869000
28-05-19,27274.83008,27490.55078,27230.08984,27390.81055,27390.81055,3043711500
27-05-19,27239.08008,27371.34961,27105.2207,27288.08984,27288.08984,1264256500
24-05-19,27368.67969,27457.58984,27291.93945,27353.92969,27353.92969,1677043500
23-05-19,27505.5293,27523.85938,27169.66992,27267.13086,27267.13086,2219416000
22-05-19,27753.53906,27828.81055,27640.61914,27705.93945,27705.93945,1705803400
21-05-19,27671.40039,27915.16016,27598.06055,27657.24023,27657.24023,2229189200
20-05-19,27959.23047,27999.59961,27699.23047,27787.60938,27787.60938,2260468500
17-05-19,28428,28428,27909.73047,27946.46094,27946.46094,1922181900
16-05-19,28117.48047,28379.36914,28050.7793,28275.07031,28275.07031,2372367500
15-05-19,28171.32031,28441.49023,28171.32031,28268.71094,28268.71094,2244890100
14-05-19,27951.11914,28205.96094,27925.61914,28122.01953,28122.01953,2875261200
10-05-19,28462.33984,28833.44922,28203.2207,28550.24023,28550.24023,2421480000
09-05-19,28839.34961,28891.10938,28281.98047,28311.07031,28311.07031,2907223700
08-05-19,28987.08984,29252,28945.91016,29003.19922,29003.19922,2182802000
07-05-19,29313.58008,29480.03906,29156.44922,29363.01953,29363.01953,1997665400
06-05-19,29342.38086,29384.00977,28956.4707,29209.82031,29209.82031,2934065800
03-05-19,29818.48047,30081.55078,29678.85938,30081.55078,30081.55078,1217388500
02-05-19,29643.05078,29967.74023,29643.05078,29944.17969,29944.17969,1298906600
30-04-19,29828.15039,29855.75977,29620.44922,29699.10938,29699.10938,1359023200
29-04-19,29730.84961,29917.10938,29639.38086,29892.81055,29892.81055,1250717200
26-04-19,29513.08008,29672.78906,29504.14063,29605.00977,29605.00977,1411001700
25-04-19,29667.51953,29849.69922,29535.19922,29549.80078,29549.80078,1644483200
24-04-19,30112.18945,30112.18945,29682.86914,29805.83008,29805.83008,1748986700
23-04-19,29782.94922,30055.93945,29755.86914,29963.24023,29963.24023,2006226400
18-04-19,30088.65039,30101.83008,29896.85938,29963.25977,29963.25977,1569930600
17-04-19,30160.68945,30178.58008,30004.9707,30124.67969,30124.67969,2035147300
16-04-19,29754.30078,30142.85938,29665.10938,30129.86914,30129.86914,2546181500
15-04-19,30119.84961,30280.11914,29810.7207,29810.7207,29810.7207,2010638200
12-04-19,29806.34961,29909.75977,29694.84961,29909.75977,29909.75977,1560692000
11-04-19,30138.14063,30184.60938,29783.66992,29839.44922,29839.44922,1897154200
10-04-19,30052.26953,30139.60938,29892.61914,30119.56055,30119.56055,1814064400
09-04-19,30065.99023,30222.01953,30018.98047,30157.49023,30157.49023,2049354000
08-04-19,30119.58008,30185.06055,29913.61914,30077.15039,30077.15039,2321011600
04-04-19,29950.41992,30050.91016,29765.55078,29936.32031,29936.32031,1854467500
03-04-19,29785.26953,29999.33984,29715.76953,29986.39063,29986.39063,2019434600
02-04-19,29736.99023,29736.99023,29534.41992,29624.66992,29624.66992,1858466500
01-04-19,29383.7207,29612.36914,29383.7207,29562.01953,29562.01953,2475412300
29-03-19,28812.64063,29100.68945,28761.88086,29051.35938,29051.35938,2695223000
28-03-19,28663.19922,28816.58984,28558.80078,28775.21094,28775.21094,1582079600
27-03-19,28564.71094,28781.63086,28551.65039,28728.25,28728.25,1475536600
26-03-19,28677.75977,28701.59961,28435.06055,28566.91016,28566.91016,1406624800
25-03-19,28501.36914,28702.24023,28463.10938,28523.34961,28523.34961,2091121900
22-03-19,29173.33008,29243.09961,28847.33984,29113.35938,29113.35938,1740699100
21-03-19,29387.75,29446.76953,29051.84961,29071.56055,29071.56055,1750672700
20-03-19,29357.18945,29435.81055,29251.25,29320.9707,29320.9707,1580528500
19-03-19,29419.14063,29486.15039,29319.50977,29466.2793,29466.2793,1747657200
18-03-19,29112.43945,29409.00977,29034.13086,29409.00977,29409.00977,1887811300
15-03-19,28843.85938,29204.73047,28828.25977,29012.25977,29012.25977,1974569100
14-03-19,28891.06055,28932.4707,28696.31055,28851.39063,28851.39063,1390223200
13-03-19,28924.2793,28924.2793,28690.36914,28807.44922,28807.44922,1183090900
12-03-19,28760.26953,28941.08984,28734.08984,28920.86914,28920.86914,0
11-03-19,28265.84961,28512.26953,28240.7793,28503.30078,28503.30078,1525534800
